Unnamed: 0,sentimen,tweet,tweet_no_stopwords,stem
51,netral,presiden jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi a via metrobali,presiden jokowi raja salman sepakat tingkatkan kerja ekonomi a via metrobali,presiden jokowi raja salman sepakat tingkat kerja ekonomi a via metrobali
52,netral,saya kasih taubeberapa penghargaan yang dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin yang diakui integritasnyaa aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih,kasih taubeberapa penghargaan dianugerahkan bukti jokowi sosok pemimpin diakui integritasnyaa aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih,kasih taubeberapa harga anugerah bukti jokowi sosok pimpin aku integritasnyaa aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih
53,netral,presiden jokowi dan raja salman sepakat tingkatkan kerja sama ekonomi a via bali netizen,presiden jokowi raja salman sepakat tingkatkan kerja ekonomi a via bali netizen,presiden jokowi raja salman sepakat tingkat kerja ekonomi a via bal netizen
54,positif,dalam penjelasannya kyai khmarufamin mau menjadi cawapres karena jokowi punya komitmen terkait ekonomi umat dengan apa yang disebutnya sebagai arus baru ekonomi indonesia membangun ekonomi dari bawah pilihorangbaik pilihygjelasislamnya pilihygbajuputih,penjelasannya kyai khmarufamin cawapres jokowi komitmen terkait ekonomi umat disebutnya arus ekonomi indonesia membangun ekonomi pilihorangbaik pilihygjelasislamnya pilihygbajuputih,jelas kyai khmarufamin cawapres jokowi komitmen kait ekonomi umat sebut arus ekonomi indonesia bangun ekonomi pilihorangbaik pilihygjelasislamnya pilihygbajuputih
55,positif,pilihorangbaik pilihjelasislamnya pilihbajuputih menterinya saja berprestasi apalagi pemimpinnya bisa dikatakan era jokowi lah dimana sejumlah menterinya banyak meraih penghargaan,pilihorangbaik pilihjelasislamnya pilihbajuputih menterinya berprestasi pemimpinnya era jokowi dimana menterinya meraih penghargaan,pilihorangbaik pilihjelasislamnya pilihbajuputih menteri prestasi pimpin era jokowi mana menteri raih harga
56,negatif,populerb1 4 jokowi naikkan tax ratio drastis bisa guncang ekonomi,populerb1 4 jokowi naikkan tax ratio drastis guncang ekonomi,populerb1 4 jokowi naik tax ratio drastis guncang ekonomi
57,positif,lalu berbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jika sangat jauh meningkat pilihorangbaik pilihygjelasislamnya pilihygbajuputih a,pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jokowi meningkat pilihorangbaik pilihygjelasislamnya pilihygbajuputih a,capai hasil capai tumbuh ekonomi era perintah jokowi tingkat pilihorangbaik pilihygjelasislamnya pilihygbajuputih a
58,negatif,disitu pak jokowi hanya membahas game online bagi pemain profesional bahkan sekarang sudah ada piala presiden mobile legend dan hadiahnya sangat besar jika kita mau bersaing didunia online seperti game ekonomi kita juga akan naik,disitu jokowi membahas game online pemain profesional piala presiden mobile legend hadiahnya bersaing didunia online game ekonomi,situ jokowi bahas game online main profesional piala presiden mobile legend hadiah saing dunia online game ekonomi
59,positif,jokowi khmarufamin 17 april pilih jokowikma pada ngerti kan kalau pak jokowi belajar ngaji sejak sebelum jadi pejabat murni mendalami agama tanpa unsur pencitraan pilihorangbaik pilihjelasislamnya pilihbajuputih,jokowi khmarufamin 17 april pilih jokowikma ngerti jokowi belajar ngaji pejabat murni mendalami agama unsur pencitraan pilihorangbaik pilihjelasislamnya pilihbajuputih,jokowi khmarufamin 17 april pilih jokowikma ngerti jokowi ajar ngaji jabat murni dalam agama unsur citra pilihorangbaik pilihjelasislamnya pilihbajuputih
60,positif,repost from sandiuno repost media app prabowosandi tidak ingin gagal fokus kita ingin pembangunan besarbesaran ini berdampak langsung pada ekonomi dan kesejahteraana irzahnpbwqn4ubgzizutm sourceig twitter shareigshid4xvs93h4zmdua a,repost from sandiuno repost media app prabowosandi tidak gagal fokus pembangunan besarbesaran berdampak langsung ekonomi kesejahteraana irzahnpbwqn4ubgzizutm sourceig twitter shareigshid4xvs93h4zmdua a,repost from sandiuno repost media app prabowosandi tidak gagal fokus bangun besarbesaran dampak langsung ekonomi kesejahteraana irzahnpbwqn4ubgzizutm sourceig twitter shareigshid4xvs93h4zmdua a
61,negatif,alasan prabowosandi tak terima gaji jika menang negara sedang susah mediumpostutm sourcefacebookutm campaigninta a,alasan prabowosandi terima gaji menang negara susah mediumpostutm sourcefacebookutm campaigninta a,alas prabowosandi terima gaji menang negara susah mediumpostutm sourcefacebookutm campaigninta a
62,negatif,he he he pikirkan letjen pecatan yang bilang biang kerok ekonomi presiden2 sebelum jokowi ada jenderal sby ada jenderal soeharto yang bintang nya sampai lima dungu,he he he pikirkan letjen pecatan bilang biang kerok ekonomi presiden2 jokowi jenderal sby jenderal soeharto bintang nya dungu,he he he pikir letjen pecat bilang biang kerok ekonomi presiden2 jokowi jenderal sby jenderal soeharto bintang nya dungu
